census_region,political_party,concern_adj_mean,concern_adj_se
Northeast,Democrat,68.28793901935701,1.15827255289547
Northeast,Independent,46.881920205172,1.0143782009616256
Northeast,Republican,45.7509531271495,1.254477405419106
Midwest,Democrat,65.89911563993229,2.1624214290184747
Midwest,Independent,41.637110827669844,1.86969056454841
Midwest,Republican,41.26348183831291,2.1913412199812132
South,Democrat,67.08894623882495,1.3242559267112781
South,Independent,52.399574258156534,1.201517356252178
South,Republican,40.68982910519452,1.236127450702181
West,Democrat,66.12672715635165,1.3554178100055152
West,Independent,46.11999661696573,1.2402951852283546
West,Republican,43.70176232628636,1.4874395036128667
