outcome,wave,Republican,Independent,Democrat,gap_rep_dem,gap_ind_dem
contacts,1,4.120054735545877,4.826759444433437,4.658317767448339,-0.5382630319024617,0.16844167698509782
contacts,2,5.868303217012622,5.0022104923773805,5.432895454332754,0.43540776267986825,-0.4306849619553734
contacts,3,8.933280255442709,7.066158116226756,6.163917520087496,2.7693627353552124,0.9022405961392597
contacts,4,6.455523430639564,6.363554867394374,5.729085074572781,0.7264383560667831,0.6344697928215925
contacts,5,6.673568628798707,5.72374101217472,6.363173179522206,0.3103954492765011,-0.6394321673474854
contacts,6,8.111665746582975,7.841166359705991,6.329581824940209,1.7820839216427666,1.511584534765782
masks,1,54.55149661745248,45.12056819484388,59.53508659256533,-4.983589975112849,-14.414518397721451
masks,2,54.522855681703994,44.874683278910354,59.32665029745998,-4.803794615755983,-14.451967018549624
masks,3,64.68833675803563,67.50641237022407,69.28770741775067,-4.599370659715035,-1.7812950475265978
masks,4,63.2135510304793,61.90331862917665,70.6832553931406,-7.469704362661297,-8.779936763963946
masks,5,60.02171897982773,65.18593650960892,70.59447432674037,-10.572755346912636,-5.408537817131446
masks,6,47.96575298905605,48.20584403935018,58.904448988671604,-10.938695999615554,-10.698604949321421
concern,1,59.053284688313035,50.28299620416566,65.43403429279229,-6.380749604479256,-15.151038088626628
concern,2,41.795983945113605,45.86376869619036,64.42339448993182,-22.62741054481822,-18.55962579374146
concern,3,49.777904938410686,51.28506571812104,67.22355176639915,-17.44564682798847,-15.938486048278115
concern,4,48.90662236750078,49.163612087956125,74.31727652868824,-25.41065416118746,-25.153664440732115
concern,5,37.51667570852822,46.5338547646563,63.810160078217116,-26.293484369688898,-17.27630531356082
concern,6,28.559763358068295,34.45427081807649,50.850373666473736,-22.29061030840544,-16.39610284839725
