wave,political_party,contacts,mask_usage,n
1,Democrat,3.3290734824281154,67.6948051948052,626
1,Independent,3.9238754325259513,62.60964912280702,289
1,Republican,4.721577726218095,70.38369304556356,431
2,Democrat,4.256272401433693,67.23973256924546,558
2,Independent,4.835877862595419,61.831275720164605,262
2,Republican,5.750853242320818,77.49221183800623,293
3,Democrat,5.371249999999998,78.58472998137803,800
3,Independent,5.740259740259738,73.8673139158576,308
3,Republican,8.776025236593062,82.23270440251572,634
4,Democrat,5.918079096045198,78.63247863247862,1062
4,Independent,5.229813664596273,77.13365539452496,322
4,Republican,6.137820512820514,75.92592592592592,312
5,Democrat,5.800936768149883,77.64949674363531,854
5,Independent,4.168350168350167,73.39015151515152,297
5,Republican,5.283216783216781,68.76138433515482,286
6,Democrat,6.452813067150638,70.74910820451842,1102
6,Independent,6.3279999999999985,65.61771561771562,375
6,Republican,5.787114845938375,65.61728395061728,357
