concern_level,political_party,contacts,nonhh_contacts,mask_usage,n
Not at all concerned,Democrat,8.973376095718812,6.953979495375454,35.42910758439089,161
Not at all concerned,Independent,7.183485692354086,5.2508064042099685,30.819225006564672,347
Not at all concerned,Republican,9.740900488268702,7.935280558749769,28.524644607817333,619
Not very concerned,Democrat,7.651583185254836,5.973032706056657,43.22488562301186,481
Not very concerned,Independent,6.425778262951064,4.620010481198083,39.649451615397595,586
Not very concerned,Republican,7.879283020536744,6.0576434442750395,36.80901145172465,830
Somewhat concerned,Democrat,5.268969575660904,3.453360627324762,60.693086569479085,2491
Somewhat concerned,Independent,5.600324628588404,3.7808672093525844,52.76768642887395,1678
Somewhat concerned,Republican,6.0322320543554735,4.236365596603888,55.47381810373521,1725
Very concerned,Democrat,5.041768356641803,3.200207436498818,71.92077454764657,5002
Very concerned,Independent,5.244056383657423,3.391060325111111,65.90909281802806,1853
Very concerned,Republican,5.594499173928321,3.5634090108151018,71.63520835664798,2313
