context,political_party,n,contacts_mean,mask_mean,section
"[18,30)",Democrat,1885,6.192968513575166,61.14160157752422,Age Group
"[18,30)",Independent,1023,6.357974664337549,51.05688884344835,Age Group
"[18,30)",Republican,781,8.128369715728748,51.38824973212055,Age Group
"[30,45)",Democrat,2817,6.333702161989037,68.30079658107726,Age Group
"[30,45)",Independent,1368,6.923145833568303,54.24246156095838,Age Group
"[30,45)",Republican,1961,8.048958128115014,61.583381246610514,Age Group
"[45,55)",Democrat,1294,6.773647926736808,71.58792714058312,Age Group
"[45,55)",Independent,706,5.612896205289567,56.683991878830355,Age Group
"[45,55)",Republican,998,7.3532609982332255,57.75473886644254,Age Group
"[55,65)",Democrat,1021,4.0338681295217595,62.57545283403152,Age Group
"[55,65)",Independent,664,5.809997365774748,53.379049947804134,Age Group
"[55,65)",Republican,885,6.025978663251254,49.183256605447895,Age Group
"[65,100]",Democrat,1172,3.0054401812558287,62.94151710624812,Age Group
"[65,100]",Independent,766,3.644052944230842,54.00282567352167,Age Group
"[65,100]",Republican,892,4.027887154510675,50.76008185871232,Age Group
Asian,Democrat,628,5.151908569952518,69.39209375359644,Race
Asian,Independent,335,4.206181016638946,65.56804965861828,Race
Asian,Republican,245,4.585886215028136,68.85189536650694,Race
Black,Democrat,1335,4.876570202065439,67.09371479383215,Race
Black,Independent,444,5.582477277981287,63.20422344491691,Race
Black,Republican,197,6.408299813553768,61.3027365550995,Race
Other / Mixed,Democrat,374,5.241525244984695,66.42339876841825,Race
Other / Mixed,Independent,234,5.343101797483147,49.16997017395995,Race
Other / Mixed,Republican,128,5.378609603087255,52.71661926725522,Race
White,Democrat,5852,5.491407979060582,64.86277452192603,Race
White,Independent,3514,5.889814756569758,52.38647438271746,Race
White,Republican,4947,6.720298522974683,54.160975245532676,Race
Hispanic,Democrat,1056,5.7689824307564015,65.1189486314491,Hispanic Ethnicity
Hispanic,Independent,434,6.439079726014331,51.01845459499062,Hispanic Ethnicity
Hispanic,Republican,470,6.601803043811011,56.59570075804589,Hispanic Ethnicity
Not Hispanic,Democrat,7133,5.240065150734345,65.66410964367277,Hispanic Ethnicity
Not Hispanic,Independent,4093,5.62376573513963,54.21969741240371,Hispanic Ethnicity
Not Hispanic,Republican,5047,6.5935346706082205,54.51276525363921,Hispanic Ethnicity
Female,Democrat,4477,5.219936780738432,62.752760302439164,Gender
Female,Independent,2368,5.650276238405774,49.35575684214831,Gender
Female,Republican,2513,6.069834085374414,50.85694116448074,Gender
Male,Democrat,3712,5.489348282951521,68.48936865947041,Gender
Male,Independent,2159,5.822147177977569,57.91251522245859,Gender
Male,Republican,3004,7.088344587847229,58.03333628423266,Gender
College graduate,Democrat,4442,5.903795150150368,71.11826450626401,Education
College graduate,Independent,2035,5.818182784121106,58.44094695984409,Education
College graduate,Republican,2795,6.966519847332247,63.135448009333075,Education
High school graduate,Democrat,1332,4.851887313620041,60.34417217070204,Education
High school graduate,Independent,822,5.737090817996966,48.78890596465128,Education
High school graduate,Republican,947,6.022217350603855,51.544479189870216,Education
Non-high school graduate,Democrat,142,5.246255661038117,59.545645754271,Education
Non-high school graduate,Independent,127,4.51554918926336,51.886027281835624,Education
Non-high school graduate,Republican,117,7.425554581973801,40.58514356662188,Education
Some college,Democrat,2273,5.212234995308025,64.07228397710901,Education
Some college,Independent,1543,5.841750118285942,54.90487359652707,Education
Some college,Republican,1658,6.824561701527499,50.06695462545991,Education
Not Working,Democrat,2411,3.5762571260558107,61.581859919360525,Employment Status
Not Working,Independent,1536,3.652462822099435,52.277544906653276,Employment Status
Not Working,Republican,1594,5.1615989486051586,50.283568299070915,Employment Status
Working,Democrat,5305,6.7040019705215785,68.03921202898422,Employment Status
Working,Independent,2672,7.638180357166791,56.45815180002292,Employment Status
Working,Republican,3480,8.01411380287097,57.039610250801964,Employment Status
1 (Lives alone),Democrat,1556,3.618202648153044,65.23398121336247,Household Size
1 (Lives alone),Independent,926,3.867047006156925,50.703868345913314,Household Size
1 (Lives alone),Republican,811,4.179205713954264,52.53631711688405,Household Size
2,Democrat,2439,3.5675723746907413,60.257519551185915,Household Size
2,Independent,1485,4.282325374842923,53.53410577206349,Household Size
2,Republican,1679,5.0669431417031285,49.45656111545833,Household Size
3,Democrat,1656,5.4003124987230064,69.37683450892912,Household Size
3,Independent,879,5.941977930796663,53.726100926211615,Household Size
3,Republican,1200,7.027872277500987,56.40147039371199,Household Size
4+,Democrat,2538,8.116498973986646,68.42380549299105,Household Size
4+,Independent,1237,8.245407121550596,55.6740084696373,Household Size
4+,Republican,1827,9.101681622920665,60.43459562182331,Household Size
"Less than $30,000",Democrat,1147,4.7583970434643765,61.780214772843394,Household Income
"Less than $30,000",Independent,647,5.14092084133408,53.2406281497191,Household Income
"Less than $30,000",Republican,650,5.822177184783751,48.86370144327292,Household Income
"$30,000 to $59,999",Democrat,1812,4.652381063109069,65.18269384592574,Household Income
"$30,000 to $59,999",Independent,1136,6.139384822663743,51.99506500896379,Household Income
"$30,000 to $59,999",Republican,1242,6.287488909397179,49.190318161202285,Household Income
"$60,000 to $89,999",Democrat,1301,5.145722756781754,65.48373070633109,Household Income
"$60,000 to $89,999",Independent,725,5.721487174117126,58.076573421580335,Household Income
"$60,000 to $89,999",Republican,907,6.987049897679614,53.87710563830458,Household Income
"$90,000 to $199,999",Democrat,2159,6.236351447626005,71.28325632285642,Household Income
"$90,000 to $199,999",Independent,969,6.724855227367899,56.39686090883864,Household Income
"$90,000 to $199,999",Republican,1629,7.120851727348021,61.25780123514098,Household Income
