census_division,political_party,n,contacts_mean,contacts_se,mask_mean,mask_se
New England,Democrat,787,5.106673074037907,0.35099739029679694,67.79386701467756,1.6118729363338107
New England,Independent,801,6.2004250245137,0.5303540389236719,60.05097207260119,1.85775375801084
New England,Republican,408,6.144809828212516,0.5622355820978114,58.4833482244611,2.49604475532602
Middle Atlantic,Democrat,2166,5.402858034450675,0.20737576263556357,69.8484338981035,1.0360493560205783
Middle Atlantic,Independent,868,5.188990495597437,0.3017827737556997,63.12653725309757,1.5055681914400378
Middle Atlantic,Republican,1311,6.517326849043927,0.37738838293993493,61.36896384042031,1.4949492462905953
East North Central,Democrat,545,5.030498445843812,0.3919218445922693,63.35699594552453,2.1665907838841036
East North Central,Independent,306,4.905346583725724,0.6730120697379581,42.68059200544817,2.6147839923135643
East North Central,Republican,444,7.298513937424301,1.1087114981169908,52.1011722620342,2.5029723475983463
West North Central,Democrat,195,5.933613105898387,0.8217369332730022,51.15692338872706,3.942177674741248
West North Central,Independent,126,8.575264138686569,2.6757045684555028,40.93582734608306,4.457909959922616
West North Central,Republican,133,6.030114574206756,0.8979225085748009,35.34281791205965,4.098287185864898
South Atlantic,Democrat,1516,5.385654699373294,0.2629694954502349,61.70442479655475,1.341970494866766
South Atlantic,Independent,809,5.890161062527601,0.3775696694294236,46.79534953731482,1.6822871527493184
South Atlantic,Republican,1298,6.6583627784707415,0.33192586653075423,53.895781576459385,1.538269495307493
East South Central,Democrat,166,9.568847733223363,2.104699371784745,48.40663680948391,4.049743383952249
East South Central,Independent,111,6.911175710324291,1.2682535183241448,37.659246554185266,3.9923690372691
East South Central,Republican,205,6.267157239120382,0.7693220468229204,52.96582483878864,3.610399546081218
West South Central,Democrat,386,5.403533910660521,0.5646874517822812,65.82100120004871,2.456929994204428
West South Central,Independent,188,5.966430579572202,0.8437509790918013,42.12724929054979,3.6728584404380373
West South Central,Republican,300,7.0676340377023585,1.1553319506557964,47.12788165543755,2.8204977998025806
Mountain,Democrat,811,4.992170045957476,0.26350744284862093,60.48092548320358,1.9569520363335935
Mountain,Independent,647,5.192604218377358,0.3583156246834718,54.473198206338125,1.9066497007732142
Mountain,Republican,718,6.417824484833894,0.5616892219894534,46.6146907907522,1.8540295540133198
Pacific,Democrat,1561,4.889339172998063,0.23284137552642178,71.12708457765359,1.1722767502257503
Pacific,Independent,647,5.453849567744964,0.4765028734908396,59.86697031982283,1.983584803851082
Pacific,Republican,679,6.685157396688517,0.7178266981123259,58.22125581326856,2.128559631281251
