census_region,political_party,n,contacts_mean,contacts_se,mask_mean,mask_se
Northeast,Democrat,2953,5.321289077393096,0.17879453400035522,69.31582229635936,0.8716795184998334
Northeast,Independent,1669,5.6948656768213946,0.30539423773774377,61.495392918951346,1.198454428863256
Northeast,Republican,1719,6.422920084939754,0.31570388544778083,60.66782760164254,1.28244508690514
Midwest,Democrat,740,5.275045860679696,0.3626451572884598,59.80169078571258,1.9189362753597905
Midwest,Independent,432,6.109866060681094,1.0056763403182187,42.09339641544133,2.2853654493801736
Midwest,Republican,577,6.982625507675964,0.8648992613414364,48.06922739005808,2.1761963587683995
South,Democrat,2068,5.7997491989750545,0.3052325209683164,61.11213986458173,1.1438878772972993
South,Independent,1108,6.027916530644426,0.34168926581358083,44.910325859226134,1.4311334312516855
South,Republican,1803,6.660308538631117,0.3117564559805595,52.84790844979976,1.2803790958051955
West,Democrat,2372,4.926483557615,0.17655121914192498,67.1890179059235,1.040507422570407
West,Independent,1294,5.323044601034883,0.29835008480308184,57.11685710905433,1.374398101807738
West,Republican,1397,6.551783687873417,0.4561533863951066,52.6084257664177,1.4229969409072047
