political_party,wave,data_collected_dates,n,total_contacts,nonhh_contacts,mask_usage
Democrat,1,"April 11-May 5, '20",945,3.736571744210329,2.0273619972264947,60.183550146332706
Independent,1,"April 11-May 5, '20",621,4.343604176042396,2.437067801564481,44.23323803294497
Republican,1,"April 11-May 5, '20",789,4.099432264301024,2.1264980929457966,54.245261593870985
Democrat,2,"June 18-24, '20",907,4.921465540128822,3.0972189498593363,59.71300609582486
Independent,2,"June 18-24, '20",585,4.934673788088166,2.9535912862989413,44.47690277339983
Republican,2,"June 18-24, '20",688,5.666762162519564,3.8248666448538997,51.8067329195131
Democrat,3,"September 12-20, '20'",1227,5.185425025497805,3.467301486200249,69.7031340300024
Independent,3,"September 12-20, '20'",690,6.040744835437421,4.142209413921242,66.56221752898873
Republican,3,"September 12-20, '20'",1123,8.642389479245196,6.616746872910469,64.69875070618323
Democrat,4,"December 1-7, '20'",1457,5.23057596194901,3.3725680560215587,72.70623203009528
Independent,4,"December 1-7, '20'",654,5.471367867371349,3.7718911904720507,61.47049519544652
Republican,4,"December 1-7, '20'",726,5.781550728514727,3.8877767255300673,61.41718752589091
Democrat,5,"February 9-14, '21'",1365,5.639083625213773,3.721793311569708,72.29627720880117
Independent,5,"February 9-14, '21'",682,4.84302281280415,3.167002581233016,64.46039020222574
Republican,5,"February 9-14, '21'",780,5.952254798259448,4.0874344303586545,57.62674326940427
Democrat,6,"May 14-25, '21'",2288,6.143649590781198,4.279243171299011,59.8510463888017
Independent,6,"May 14-25, '21'",1295,7.227527452082405,5.352172254336495,46.67241228358878
Republican,6,"May 14-25, '21'",1411,7.7076981914579195,5.897274138705005,45.14281348997474
