model,outcome,estimate,std_error,p_value,n
1. Base (party + wave),num_cc,1.2739353079118438,0.2145433866954492,2.9520413371202607e-9,14742
2. + Policy (mask mandate),num_cc,1.243859013997325,0.2152449131678608,7.675265555464835e-9,14742
3. + Demographics,num_cc,1.131606538605304,0.21436990713072174,1.3191057117907754e-7,14742
4. + Geographic region,num_cc,1.1915417049314152,0.21489744316045664,2.9952251410475984e-8,14742
5. + Cross-cutting context,num_cc,1.2219366355590666,0.2168549080917559,1.7845813849186194e-8,14742
6. + Severity (local mortality),num_cc,1.2781416952877243,0.21453256596956707,2.614853259517529e-9,14742
7. + Perception (concern),num_cc,1.2279515374913865,0.21812929399490888,1.84065426756821e-8,14742
8. Full multivariate,num_cc,1.0084510518991179,0.21827630331444514,3.868711850423522e-6,14742
1. Base (party + wave),Norm_Masks_Used,-9.912107832036007,1.0991689982867103,2.24674496179433e-19,10684
2. + Policy (mask mandate),Norm_Masks_Used,-8.850493687973842,1.095702194885602,7.325313870545265e-16,10684
3. + Demographics,Norm_Masks_Used,-9.045666581679205,1.1140256548355736,5.184112779455597e-16,10684
4. + Geographic region,Norm_Masks_Used,-9.033650242740613,1.0918975823396504,1.457490904619596e-16,10684
5. + Cross-cutting context,Norm_Masks_Used,-7.878257671221557,1.1000210169403646,8.479767018346448e-13,10684
6. + Severity (local mortality),Norm_Masks_Used,-9.91918340737432,1.0992245942362135,2.1282737811069154e-19,10684
7. + Perception (concern),Norm_Masks_Used,-6.2514863314347995,1.1016051172972827,1.4239530808254124e-8,10684
8. Full multivariate,Norm_Masks_Used,-4.649791917521367,1.1096182335626281,2.80656431151178e-5,10684
