political_party,wave,data_collected_dates,n,total_contacts,nonhh_contacts,hh_contacts,mask_usage
Democrat,1,"April 11-May 5, '20",294,7.669148027339167,5.799354264014496,1.8697937633246715,56.602480925922734
Independent,1,"April 11-May 5, '20",221,8.494811184346878,6.261363067285523,2.2334481170613545,45.32813734792336
Republican,1,"April 11-May 5, '20",328,7.149330810249809,5.013235956357756,2.136094853892053,56.86644863239235
Democrat,2,"June 18-24, '20",414,7.967831813832017,6.066462394015009,1.9013694198170086,59.94030561992736
Independent,2,"June 18-24, '20",280,8.086273244120115,6.071694955586204,2.0145782885339107,42.05404539124466
Republican,2,"June 18-24, '20",389,8.530106677107982,6.563024782879322,1.9670818942286603,48.64667152479362
Democrat,3,"September 12-20, '20'",594,8.967565482591562,7.26826927593348,1.6992962066580821,74.29995675414905
Independent,3,"September 12-20, '20'",323,10.65728526931865,8.620438636534804,2.0368466327838473,67.86374352680352
Republican,3,"September 12-20, '20'",722,13.221012952945719,11.078375581808498,2.142637371137221,66.71993811086296
Democrat,4,"December 1-7, '20'",748,8.95660584461105,6.840016503959883,2.116589340651166,74.029597219831345
Independent,4,"December 1-7, '20'",273,10.882212962115664,8.927565555316272,1.954647406799392,64.1217928856098
Republican,4,"December 1-7, '20'",388,9.351236952378839,7.352823294970568,1.9984136574082711,65.48103149548443
Democrat,5,"February 9-14, '21'",688,9.3773150916963,7.379841168258778,1.9974739234375214,71.63178485973688
Independent,5,"February 9-14, '21'",314,9.106177473682084,7.169229977927151,1.936947495754933,64.19187992533746
Republican,5,"February 9-14, '21'",423,9.549042488457607,7.491594081660548,2.057448406797059,58.302747137981484
Democrat,6,"May 14-25, '21'",1344,9.224052359184919,7.213092902238925,2.0109594569459937,63.03590413091388
Independent,6,"May 14-25, '21'",787,10.85471476314232,8.938925228503237,1.9157895346390834,47.36055320586146
Republican,6,"May 14-25, '21'",914,11.039445929182769,9.104670421582847,1.9347755075999213,46.24118861052325
