term,estimate,std.error,statistic,p.value,outcome,model
republican,1.709104436604045,0.37167922717225715,4.598331872370014,4.32216858479793e-6,Contacts,Wave FE
very_concerned,-0.21092183682915583,0.36480000036213345,-0.578184859155087,0.5631550687879923,Contacts,Wave FE
log_mort_std,-0.21011174421169568,0.17419129292284227,-1.2062126681886696,0.22777001861775173,Contacts,Wave FE
republican:very_concerned,-1.1952888706007478,0.5088142820853702,-2.3491653294437187,0.018838956990151385,Contacts,Wave FE
republican:log_mort_std,0.0646422464141464,0.21290395009705027,0.30362163963928257,0.761423804126814,Contacts,Wave FE
republican,-12.849831757276144,1.4363244406643498,-8.946329529373358,4.476391880732006e-19,Masks,Wave FE
very_concerned,10.169381900470468,1.4097402226669449,7.213656627624657,5.928093933500946e-13,Masks,Wave FE
log_mort_std,-0.1391321023211136,0.6731482232125034,-0.20668865715358434,0.8362581065878841,Masks,Wave FE
republican:very_concerned,14.208718046014132,1.9662718163681436,7.226222706206884,5.407984451166887e-13,Masks,Wave FE
republican:log_mort_std,1.9574122418711266,0.8227501691846011,2.3791088901398214,0.017377113702238003,Masks,Wave FE
republican,2.1557975897120434,0.4287702310652718,5.027862089110067,5.098400620956567e-7,Contacts,County FE
very_concerned,0.49151497256566173,0.3956076870553804,1.2424302880061464,0.21412460209650172,Contacts,County FE
log_mort_std,-0.31756579270040625,0.3271173678050449,-0.9708007704735164,0.3316851809332888,Contacts,County FE
republican:very_concerned,-1.46490073830135,0.5689258221984406,-2.574853664825209,0.010051113573741752,Contacts,County FE
republican:log_mort_std,-0.40266557176375223,0.3858450166465081,-1.0435940711725047,0.29671372268734997,Contacts,County FE
republican,-12.305325521877226,1.6767285513476482,-7.338889477361726,2.428300748827666e-13,Masks,County FE
very_concerned,8.5218438065544575,1.5470446779160456,5.5084665156754555,3.764511587491043e-8,Masks,County FE
log_mort_std,1.0021418176141514,1.2792096803868656,0.7834069996336162,0.43341792236251897,Masks,County FE
republican:very_concerned,12.338782148081387,2.2248143657478945,5.545982774132968,3.0431700092636216e-8,Masks,County FE
republican:log_mort_std,5.187441501587455,1.5088672415504572,3.437970789436073,5.899260796599305e-4,Masks,County FE
