wave,political_party,mask_usage,n
2,Democrat,66.57681940700807,592
2,Independent,56.613756613756614,295
2,Republican,74.21124828532236,333
3,Democrat,76.92528735632183,852
3,Independent,72.72727272727273,353
3,Republican,81.38839018551765,665
4,Democrat,77.84974093264248,1109
4,Independent,73.72881355932205,356
4,Republican,73.30729166666667,355
5,Democrat,75.92592592592594,919
5,Independent,69.4308943089431,336
5,Republican,66.08187134502923,338
6,Democrat,68.63475177304964,1221
6,Independent,62.40530303030303,471
6,Republican,62.07233626588466,443
