wave,political_party,pct_under_sip,n
1,Democrat,95.76719576719577,945
1,Independent,94.04186795491142,621
1,Republican,93.66286438529785,789
2,Democrat,87.10033076074973,907
2,Independent,86.15384615384616,585
2,Republican,86.04651162790698,688
3,Democrat,84.02607986960065,1227
3,Independent,77.68115942028986,690
3,Republican,85.84149599287623,1123
4,Democrat,84.21413864104323,1457
4,Independent,73.70030581039755,654
4,Republican,78.099173553719,726
5,Democrat,81.17216117216117,1365
5,Independent,74.34017595307918,682
5,Republican,69.48717948717949,780
