wave,political_party,pct_under_sip,n
1,Democrat,96.96485623003196,626
1,Independent,96.88581314878893,289
1,Republican,96.05568445475639,431
2,Democrat,88.17204301075269,558
2,Independent,88.54961832061069,262
2,Republican,90.78498293515358,293
3,Democrat,85.625,800
3,Independent,83.76623376623377,308
3,Republican,93.84858044164038,634
4,Democrat,87.28813559322035,1062
4,Independent,75.15527950310559,322
4,Republican,84.93589743589743,312
5,Democrat,83.8407494145199,854
5,Independent,82.49158249158249,297
5,Republican,77.62237762237763,286
