census_region,political_party,n,concern_mean,concern_se
Northeast,Democrat,2934,65.0308058839795,1.1885975366616686
Northeast,Independent,1647,43.511014354720096,1.6380632705058973
Northeast,Republican,1711,42.187562947600924,1.6470214332490776
Midwest,Democrat,734,57.70819817306209,2.4083802450152065
Midwest,Independent,419,37.674814217614106,3.1363754360966807
Midwest,Republican,573,34.30578309705496,2.5458557108425492
South,Democrat,2049,61.69842279028032,1.4583294755485563
South,Independent,1092,42.07589359270435,1.9992704402044974
South,Republican,1795,38.42919756788353,1.5640742115880446
West,Democrat,2363,61.912587015114,1.3709298146084519
West,Independent,1284,37.41546232714244,1.818113154958664
West,Republican,1387,37.95792185761799,1.797107288594686
