wave,political_party,pct_very_concerned,pct_any_concern,n.x,mean_local_incidence,mean_local_mortality,n.y
1,Democrat,NA,93.49117119979738,945,115.32254486300675,7.2412822022743795,945
1,Independent,NA,85.59668077428807,621,91.12758617396143,5.391649029122384,621
1,Republican,NA,84.87964400978099,789,112.01978177837468,7.662241000815293,789
2,Democrat,65.88038985197677,90.23992486219238,907,49.3804915613328,2.1755234675949366,907
2,Independent,51.41987754874644,83.06263057905163,585,49.180498509803776,2.2326102034803115,585
2,Republican,44.19191074312256,73.17966906407972,688,48.21460289366581,1.9068487908556613,688
3,Democrat,69.43947198823336,93.67088360898963,1227,64.19491583631009,1.3147524754508888,1227
3,Independent,50.70340359118158,77.6056026196851,690,60.05057900152853,1.5188776137516105,690
3,Republican,47.27895354752816,72.66810801290808,1123,68.73645918919344,1.3753896058770398,1123
4,Democrat,74.98324452390273,93.74664662072772,1457,284.26081677823896,2.115363593256734,1457
4,Independent,50.652070463573104,81.477574239836,654,309.5625627867391,2.5111092196863374,654
4,Republican,50.90318304517447,77.20996511693146,726,315.3545584596053,2.8905659016809526,726
5,Democrat,69.0975069405043,93.97661459696509,1365,283.28861558627887,6.254592579945165,1365
5,Independent,47.512328720140665,78.9315804285982,682,281.0271592566366,8.028007505652532,682
5,Republican,42.26142718755859,75.5592412011273,780,292.5995707128204,7.437315244194131,780
6,Democrat,55.38025157404498,85.21329072099081,2288,71.43044186105641,1.4236740411188888,2288
6,Independent,37.226611194014474,64.0624410693114,1295,75.65243572068195,1.3703183614695529,1295
6,Republican,30.945606334329405,58.387141187911695,1411,77.20940592567294,1.4353202962674763,1411
